INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
1957-001A,1,ROCKET BODY,SL-1 R/B,CIS,10/4/1957,TTMTR,12/1/1957,96.19,65.1,938,214,,4,0,LARGE,1,1957,1,A,Y,SL-1 R/B,1957-001A,1
1957-001B,2,PAYLOAD,SPUTNIK 1,CIS,10/4/1957,TTMTR,1/3/1958,96.1,65,1080,64,,,0,,7179,1957,1,B,Y,SPUTNIK 1,1957-001B,2
1957-002A,3,PAYLOAD,SPUTNIK 2,CIS,11/3/1957,TTMTR,4/14/1958,103.74,65.33,1659,211,,,0,SMALL,5922,1957,2,A,Y,SPUTNIK 2,1957-002A,3
2024-001A,1001,DEBRIS,DEBRIS 1,USA,6/1/2024,AFETR,,95.5,65.2,800,700,,,0,SMALL,6000,2024,1,A,Y,DEBRIS 1,2024-001A,1001
2024-001B,1002,PAYLOAD,NEW SAT 1,USA,6/1/2024,AFETR,,95.6,65.21,805,705,,,0,SMALL,6000,2024,1,B,Y,NEW SAT 1,2024-001B,1002
2024-001C,1003,DEBRIS,DEBRIS 2,RUS,6/1/2024,AFETR,,95.4,65.19,803,702,,,0,SMALL,6000,2024,1,C,Y,DEBRIS 2,2024-001C,1003
2024-001A,1001,DEBRIS,DEBRIS 1,USA,6/1/2024,AFETR,,98.5,65.2,1000,200,,,0,SMALL,6000,2024,1,A,Y,DEBRIS 1,2024-001A,1001
2024-001B,1002,PAYLOAD,NEW SAT 1,USA,6/1/2024,AFETR,,98.7,65.25,1020,210,,,0,SMALL,6000,2024,1,B,Y,NEW SAT 1,2024-001B,1002
1957-001B,2,PAYLOAD,SPUTNIK 1,CIS,10/4/1957,TTMTR,1/3/1958,96.1,65,1080,64,,,0,,7179,1957,1,B,Y,SPUTNIK 1,1957-001B,2
1957-002A,3,PAYLOAD,SPUTNIK 2,CIS,11/3/1957,TTMTR,4/14/1958,103.74,65.33,1659,211,,,0,SMALL,5922,1957,2,A,Y,SPUTNIK 2,1957-002A,3
1958-001A,4,PAYLOAD,EXPLORER 1,US,2/1/1958,AFETR,3/31/1970,88.48,33.15,215,183,,,0,,1,1958,1,A,Y,EXPLORER 1,1958-001A,4
1958-002A,16,ROCKET BODY,VANGUARD R/B,US,3/17/1958,AFETR,,137.28,34.26,4218,656,,,0,MEDIUM,8576,1958,2,A,Y,VANGUARD R/B,1958-002A,16
1958-002B,5,PAYLOAD,VANGUARD 1,US,3/17/1958,AFETR,,132.71,34.25,3829,652,,,0,SMALL,8587,1958,2,B,Y,VANGUARD 1,1958-002B,5
1958-002C,1576,DEBRIS,VANGUARD DEB,US,3/17/1958,AFETR,,122.57,34.23,2962,629,,,0,SMALL,8587,1958,2,C,Y,VANGUARD DEB,1958-002C,1576
1958-003A,6,PAYLOAD,EXPLORER 3,US,3/26/1958,AFETR,6/28/1958,103.6,33.5,1739,117,,5,0,,1,1958,3,A,Y,EXPLORER 3,1958-003A,6
1958-004A,7,ROCKET BODY,SL-1 R/B,CIS,5/15/1958,TTMTR,12/3/1958,102.74,65.14,1571,206,,,0,,1,1958,4,A,Y,SL-1 R/B,1958-004A,7
